Geography	Sector	Description	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	(blank)
Manitoba	Not Creative	Scheduled air transportation	2883	2900	3017	3058	3142	3233	3367	3383	3467	3550	
Manitoba	Not Creative	School and employee bus transportation	500	500	500	500	500	500	500	500	500	575	
Manitoba	Not Creative	Scientific research and development services	700	700	700	700	678	710	718	691	682	655	
Manitoba	Not Creative	Seafood product preparation and packaging											
Manitoba	Not Creative	Securities and commodity contracts intermediation and brokerage	900	950	800	675	675	600	575	575	575	575	
Manitoba	Not Creative	Securities and commodity exchanges											
Manitoba	Not Creative	Semiconductor and other electronic component manufacturing	500	533	533	533	533	533	533	533	533	533	
Manitoba	Not Creative	Services to buildings and dwellings	8958	8850	8708	8550	8200	8017	7817	7617	7458	7433	
Manitoba	Not Creative	Sheep and goat farming											
Manitoba	Not Creative	Ship and boat building											
Manitoba	Not Creative	Shoe stores	663	600	571	600	671	713	733	750	760	780	
Manitoba	Not Creative	"Soap, cleaning compound and toilet preparation manufacturing"											
Manitoba	Not Creative	Social advocacy organizations	840	817	814	788	756	767	740	736	725	736	
Manitoba	Not Creative	Special food services	2175	2167	2075	1942	1850	1750	1725	1667	1567	1475	
Manitoba	Not Creative	Specialized freight trucking	3025	3092	3108	3075	3125	3117	3033	2933	3008	3050	
Manitoba	Not Creative	Specialty food stores	1542	1508	1442	1425	1392	1300	1225	1173	1100	1056	
Manitoba	Not Creative	Spectator sports	714	686	686	757	729	714	713	743	713	689	
Manitoba	Not Creative	"Sporting goods, hobby and musical instrument stores"	2408	2342	2208	2142	2100	2142	2200	2242	2258	2233	
Manitoba	Not Creative	Spring and wire product manufacturing											
Manitoba	Not Creative	Steel product manufacturing from purchased steel							500	500	500	500	
Manitoba	Not Creative	Sugar and confectionery product manufacturing											
Manitoba	Not Creative	Support activities for air transportation	2000	1925	1908	1858	1825	1775	1733	1642	1542	1417	
Manitoba	Not Creative	Support activities for animal production	675	667	650	500	500	500	500	550	567	600	
Manitoba	Not Creative	Support activities for crop production	680	690	710	740	733	722	722	710	700	700	
Manitoba	Not Creative	Support activities for forestry	708	683	667	664	650	610	620	700	770	800	
Manitoba	Not Creative	"Support activities for mining, and oil and gas extraction"	1875	1833	1767	1758	1708	1675	1617	1508	1458	1433	
Manitoba	Not Creative	Support activities for rail transportation	600	650	650	600							
Manitoba	Not Creative	Support activities for road transportation	958	942	925	958	950	950	925	883	867	882	
Manitoba	Not Creative	Support activities for water transportation											
Manitoba	Not Creative	Taxi and limousine service	1300	1225	1183	1158	1183	1192	1183	1208	1317	1408	
Manitoba	Not Creative	Technical and trade schools	863	833	833	833	875	900	857	817	717	683	
Manitoba	Not Creative	Textile and fabric finishing and fabric coating											
Manitoba	Not Creative	Textile furnishings mills											
Manitoba	Not Creative	"Textile, clothing and footwear merchant wholesalers"	967	1000	1000	1000	1000	1000	1000	1067	1080	1000	
Manitoba	Not Creative	Timber tract operations											
Manitoba	Not Creative	Tobacco manufacturing											
Manitoba	Not Creative	Travel arrangement and reservation services	1250	1142	1008	900	850	767	775	783	825	842	
Manitoba	Not Creative	Traveller accommodation	8425	8342	8217	8192	7933	7850	7783	7692	7675	7783	
Manitoba	Not Creative	Universities	8850	8717	8742	8725	8617	8483	8292	8050	7825	7758	
Manitoba	Not Creative	Urban transit systems	1625	1625	1600	1617	1633	1658	1658	1658	1617	1658	
Manitoba	Not Creative	Used merchandise stores	722	711	678	700	689	744	800	810	827	845	
Manitoba	Not Creative	Used motor vehicle parts and accessories merchant wholesalers	500	500	500	500	500	500	500	500			
Manitoba	Not Creative	Utility system construction	1509	1609	1600	1658	1692	1750	1775	1742	1767	1717	
Manitoba	Not Creative	Vegetable and melon farming	975	1000	983	933	925	908	900	867	858	750	
Manitoba	Not Creative	Vending machine operators	540	540	540	540	540	525	533	550	550	550	
Manitoba	Not Creative	"Veneer, plywood and engineered wood product manufacturing"	500	500	500	580	617	617	650	700	700	733	
Manitoba	Not Creative	"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing"	580	580	580	567	583	600	613	613	611	610	
Manitoba	Not Creative	Vocational rehabilitation services	1567	1567	1517	1550	1592	1650	1758	1850	1875	1917	
Manitoba	Not Creative	Warehousing and storage	1517	1542	1567	1533	1508	1475	1483	1500	1525	1517	
Manitoba	Not Creative	Waste collection	800	833	900	700							
Manitoba	Not Creative	Waste treatment and disposal	650	650	740	733	700	738	767	790	782	800	
Manitoba	Not Creative	"Water, sewage and other systems"	825	858	875	909	900	891	936	1009	1091	1118	
Manitoba	Not Creative	(blank)	258125	258625	258900	259408	259675	259967	260492	260867	261508	261833	
Manitoba	Publishing	Heritage institutions	1100	1092	1092	1136	1118	1118	1136	1182	1118	1155	
Manitoba	Publishing	"Independent artists, writers and performers"	1425	1417	1425	1458	1475	1383	1375	1358	1433	1417	
Manitoba	Publishing	Other personal services	729	683	580	550	500	600	725	740	860	850	
Manitoba	Publishing	"Other professional, scientific and technical services"	2517	2525	2517	2483	2425	2450	2475	2458	2467	2375	
